id,title,ref_num,category,artist,sold
25865,The Herring Net,1937.1039,Arts of the Americas,Winslow Homer,0
16776,"After the Hurricane, Bahamas",1933.1235,Prints and Drawings,Winslow Homer,0
44018,Croquet Scene,1942.35,Arts of the Americas,Winslow Homer,0
97402,Minnie,1982.397,Contemporary Art,Ed Paschke,0
111810,Harvest Talk,1991.126,Prints and Drawings,Charles White,0
104031,"The Shelton with Sunspots, N.Y.",1985.206,Arts of the Americas,Georgia O'Keeffe,0
60031,Panorama from the Sasso,1980.190,Prints and Drawings,Claude Lorrain,0
43145,View of Delphi with a Procession,1941.1020,Painting and Sculpture of Europe,Claude Lorrain,0
24306,Blue and Green Music,1969.835,Arts of the Americas,Georgia O'Keeffe,0
61428,Cow's Skull with Calico Roses,1947.712,Arts of the Americas,Georgia O'Keeffe,0
46327,"Black Cross, New Mexico",1943.95,Arts of the Americas,Georgia O'Keeffe,0
100858,Sky above Clouds IV,1983.821,Arts of the Americas,Georgia O'Keeffe,0
117266,Nightlife,1992.89,Arts of the Americas,Archibald John Motley Jr.,0
27992,A Sunday on La Grande Jatte — 1884,1926.224,Painting and Sculpture of Europe,Georges Seurat,0
69780,"The Fountain, Villa Torlonia, Frascati, Italy",1914.57,Arts of the Americas,John Singer Sargent,0
93811,Into the World There Came a Soul Called Ida,1977.34,Arts of the Americas,Ivan Albright,0
83905,That Which I Should Have Done I Did Not Do (The Door),1955.645,Arts of the Americas,Ivan Albright,0
135430,Weeping Woman I,1994.707,Prints and Drawings,Pablo Picasso,0
18709,"The Frugal Meal, from The Saltimbanques",1963.825,Prints and Drawings,Pablo Picasso,0
28067,The Old Guitarist,1926.253,Modern Art,Pablo Picasso,0
111060,Daniel-Henry Kahnweiler,1948.561,Modern Art,Pablo Picasso,0
109275,Mother and Child,1954.270,Modern Art,Pablo Picasso,0
5357,The Red Armchair,1957.72,Modern Art,Pablo Picasso,0
66039,Head of a Woman (Fernande),1949.584,Modern Art,Pablo Picasso,0
53001,Composition,1978.404,Modern Art,Maria Helena Vieira da Silva,0
6565,American Gothic,1930.934,Arts of the Americas,Grant Wood,0
65290,Vessel of the Dancing Lords,1986.1081,Arts of the Americas,Ah Maxam,0
111654,The Policeman,1991.1499,Modern Art,Joan Miró,0
44892,Fish (Still Life),1942.311,Painting and Sculpture of Europe,Édouard Manet,0
16499,Jesus Mocked by the Soldiers,1925.703,Painting and Sculpture of Europe,Édouard Manet,0
14591,Woman Reading,1933.435,Painting and Sculpture of Europe,Édouard Manet,0
111628,Nighthawks,1942.51,Arts of the Americas,Edward Hopper,0
19339,Arlésiennes (Mistral),1934.391,Painting and Sculpture of Europe,Paul Gauguin,0
60812,Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana),1980.613,Painting and Sculpture of Europe,Paul Gauguin,0
2816,Interior at Nice,1956.339,Modern Art,Henri Matisse,0
87045,Still Life with Geranium,1932.1342,Modern Art,Henri Matisse,0
27984,Woman before an Aquarium,1926.220,Modern Art,Henri Matisse,0
79307,Bathers by a River,1953.158,Modern Art,Henri Matisse,0
20684,Paris Street; Rainy Day,1964.336,Painting and Sculpture of Europe,Gustave Caillebotte,0
7124,Seated Nude,1958.16,Modern Art,Henri Matisse,0
229406,Liz #3 [Early Colored Liz],2015.160,Contemporary Art,Andy Warhol,0
47149,Mao,1974.230,Contemporary Art,Andy Warhol,0
16146,Equestrienne (At the Cirque Fernando),1925.523,Painting and Sculpture of Europe,Henri de Toulouse-Lautrec,0
61128,At the Moulin Rouge,1928.610,Painting and Sculpture of Europe,Henri de Toulouse-Lautrec,0
14655,Two Sisters (On the Terrace),1933.455,Painting and Sculpture of Europe,Pierre-Auguste Renoir,0
72801,Icebound,1917.200,Arts of the Americas,John Henry Twachtman,0
15468,Saint George and the Dragon,1933.786,Painting and Sculpture of Europe,Bernat Martorell,0
81558,Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg),1922.440,Painting and Sculpture of Europe,Pierre-Auguste Renoir,0
43714,"E-10: English Dining Room of the Georgian Period, 1770-90",1941.1195,Applied Arts of Europe,Mrs. James Ward Thorne,0
24836,Brushstroke with Spatter,1966.3,Contemporary Art,Roy Lichtenstein,0
184362,Mirror #3 (Six Panels),2005.18,Contemporary Art,Roy Lichtenstein,0
122054,Alka Seltzer,1993.176,Prints and Drawings,Roy Lichtenstein,0
159824,"""Untitled""",2002.80,Contemporary Art,Felix Gonzalez-Torres,0
14598,The Beach at Sainte-Adresse,1933.439,Painting and Sculpture of Europe,Claude Monet,0
64818,Stacks of Wheat (End of Summer),1985.1103,Painting and Sculpture of Europe,Claude Monet,0
16568,Water Lilies,1933.1157,Painting and Sculpture of Europe,Claude Monet,0
16571,"Arrival of the Normandy Train, Gare Saint-Lazare",1933.1158,Painting and Sculpture of Europe,Claude Monet,0
64339,Coffin and Mummy of Paankhenamun,1910.238,Arts of Africa,Ancient Egyptian,0
127859,Stela of Amenemhat and Hemet,1920.262,Arts of Africa,Ancient Egyptian,0
189807,Object,2007.30,Modern Art,Claude Cahun,0
23506,Young Bull,1965.408,Prints and Drawings,Albrecht Dürer,0
99766,Untitled (Butterfly Habitat),1982.1845,Modern Art,Joseph Cornell,0
190558,Spindle Cube Chair,2007.79,Arts of the Americas,Frank Lloyd Wright,0
144272,"Mr. and Mrs. Herbert A. Jacobs House, Middleton, Wisconsin, Perspective",1992.75.1,Architecture and Design,Frank Lloyd Wright,0
105203,Coonley Playhouse Window,1986.88,Architecture and Design,Frank Lloyd Wright,0
109686,Waters Above the Firmament,1983.203,Textiles,Lenore Tawney,0
131541,"System of Architectural Ornament, Plate 16, Impromptu!",1988.15.16,Architecture and Design,Louis H. Sullivan,0
60755,Landscape with the Ruins of the Castle of Egmond,1947.475,Painting and Sculpture of Europe,Jacob van Ruisdael,0
87479,The Assumption of the Virgin,1906.99,Painting and Sculpture of Europe,"Domenico Theotokópoulos, called El Greco",0
24645,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjurokkei)""",1925.3245,Arts of Asia,Katsushika Hokusai,0
160201,"Candida and Her Mother, Celia, II",2002.554.1-6,Photography and Media,Dawoud Bey,0
66683,"Rodin, Le Penseur",1949.825,Photography and Media,Edward Steichen,0
35198,Miss E. Knows,1970.1014,Contemporary Art,Jim Nutt,0
159136,Portrait Bust of a Woman,2002.11,Arts of the Ancient Mediterranean and Byzantium,Ancient Roman,0
28560,The Bedroom,1926.417,Painting and Sculpture of Europe,Vincent van Gogh,0
80607,Self-Portrait,1954.326,Painting and Sculpture of Europe,Vincent van Gogh,0
151363,Weaving,1998.529,Arts of the Americas,Diego Rivera,0
7021,Portrait of Marevna,1957.628,Arts of the Americas,Diego Rivera,0
16488,Armida Encounters the Sleeping Rinaldo,1925.700,Painting and Sculpture of Europe,Giambattista Tiepolo,0
117188,The Earth Is a Man,1992.168,Modern Art,Matta,0
40619,Zapata,1941.35,Arts of the Americas,José Clemente Orozco,0
27310,The Holy Family with Saints Elizabeth and John the Baptist,1967.229,Painting and Sculpture of Europe,Peter Paul Rubens,0
90536,Seated Female Nude,1953.38,Prints and Drawings,Rembrandt van Rijn,0
95998,Old Man with a Gold Chain,1922.4467,Painting and Sculpture of Europe,Rembrandt van Rijn,0
105073,The Creation of Adam,1985.1113,Prints and Drawings,Giovanni Benedetto Castiglione,0
80062,Edtaonisl (Ecclesiastic),1953.622,Modern Art,Francis Picabia,0
23333,Pastoral Scene,1937.68,Painting and Sculpture of Europe,Giovanni Battista Piazzetta,0
93900,Portrait of a Man in Costume,1977.123,Painting and Sculpture of Europe,Jean Honoré Fragonard,0
16551,Beata Beatrix,1925.722,Painting and Sculpture of Europe,Dante Gabriel Rossetti,0
25853,Wine Cistern,1966.395,Applied Arts of Europe,Francesco Durantino,0
8958,Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy,1931.501,Arts of the Americas,James McNeill Whistler,0
13853,"Karttikeya, Commander of the Divine Army, Seated on a Peacock",1962.203,Arts of Asia,,0
21023,Buddha Shakyamuni Seated in Meditation (Dhyanamudra),1964.556,Arts of Asia,,0
110663,The Combat of the Giaour and Hassan,1962.966,Painting and Sculpture of Europe,Eugène Delacroix,0
125660,The Wedding,1993.258,Arts of the Americas,Jacob Lawrence,0
126981,Gaming Set,1993.349,Applied Arts of Europe,Du Paquier Porcelain Manufactory,0
127644,Autumn Maples with Poem Slips,1977.157,Arts of Asia,Tosa Mitsuoki,0
142526,Milarepa on Mount Kailash,1995.277,Arts of Asia,,0
144969,The Interior of the Palm House on the Pfaueninsel Near Potsdam,1996.388,Painting and Sculpture of Europe,Carl Blechen,0
145681,Frederick Douglass,1996.433,Photography and Media,Samuel J. Miller,0
146701,Mountain Brook,1997.365,Arts of the Americas,Albert Bierstadt,0
146953,Two Cows and a Young Bull beside a Fence in a Meadow,1997.336,Painting and Sculpture of Europe,Paulus Potter,0
147508,Oil or Vinegar Cruet,1998.504a-b,Applied Arts of Europe,Meissen Porcelain Manufactory,0
148412,Corner Cabinet,1997.694,Applied Arts of Europe,Jacques-Émile Ruhlmann,0
149776,The Freedman,1998.1,Arts of the Americas,John Quincy Adams Ward,0
150054,Elizabeth Grant Bankson Beatty (Mrs. James Beatty) and Her Daughter Susan,1998.315,Arts of the Americas,Joshua Johnson,0
151358,Male Figure (Nkisi Nkondi),1998.502,Arts of Africa,Vili,0
